fecha,tmax,tmin,humedad,precipitacion
2018-09-18,20.4,11.4,91.3,0.0
2018-09-19,20.2,11.2,90.94999999999999,0.0
2018-09-20,20.6,11.0,90.6,0.0
2018-09-21,20.0,11.4,90.94285714285714,0.0
2018-09-22,19.8,11.2,91.28571428571428,0.0
2018-09-23,20.0,11.8,91.62857142857142,0.0
2018-09-24,20.2,11.2,91.97142857142858,0.0
2018-09-25,20.0,11.4,92.31428571428572,0.0
2018-09-26,20.2,11.6,92.65714285714286,0.0
2018-09-27,20.4,11.8,93.0,0.0
2018-09-28,20.0,11.6,91.8,0.0
2018-09-29,20.2,11.8,94.2,0.0
2018-09-30,19.8,11.6,94.8,0.0
2018-10-01,19.8,11.6,97.4,0.0
2018-10-02,19.8,11.2,96.7,0.0
2018-10-03,19.8,11.4,98.0,0.0
2018-10-04,20.4,11.6,96.1,0.0
2018-10-05,20.8,11.4,96.2,0.1
2018-10-06,20.6,11.4,95.6,0.1
2018-10-07,20.6,11.4,96.4,0.1
2018-10-08,20.0,11.6,90.3,0.0
2018-10-09,20.2,11.8,94.4,0.0
2018-10-10,21.8,11.2,95.0,0.0
2018-10-11,20.6,11.2,96.2,0.0
2018-10-12,20.2,11.4,94.3,0.1
2018-10-13,20.4,11.6,97.4,0.1
2018-10-14,20.6,11.6,96.7,0.1
2018-10-15,20.6,11.8,96.8,0.0
2018-10-16,20.6,11.6,95.5,0.0
2018-10-17,20.4,11.4,95.4,0.0
2018-10-18,20.6,11.2,93.1,0.0
2018-10-19,20.0,11.4,93.6,0.0
2018-10-20,20.0,11.8,96.1,0.0
2018-10-21,20.0,11.6,96.1,0.0
2018-10-22,20.2,11.6,96.1,0.0
2018-10-23,19.8,12.0,91.3,0.0
2018-10-24,20.2,12.4,93.6,0.0
2018-10-25,20.0,11.6,97.4,0.0
2018-10-26,20.0,11.8,91.2,0.0
2018-10-27,19.8,11.4,93.1,0.0
2018-10-28,19.8,11.6,93.1,0.0
2018-10-29,20.0,11.8,92.1,0.0
2018-10-30,20.0,11.6,92.6,0.0
2018-10-31,19.8,11.6,93.7,0.0
2018-11-01,19.8,11.8,95.6,0.0
2018-11-02,20.8,12.0,91.4,0.0
2018-11-03,21.0,11.8,92.7,0.0
2018-11-04,21.0,12.0,94.9,0.0
2018-11-05,22.0,11.8,96.3,0.0
2018-11-06,22.0,12.0,95.0,0.0
2018-11-07,21.0,12.2,89.5,0.0
2018-11-08,21.2,11.6,83.9,0.0
2018-11-09,21.4,11.8,80.6,0.0
2018-11-10,22.0,12.0,81.6,0.0
2018-11-11,22.0,12.4,77.5,0.0
2018-11-12,21.8,12.4,85.1,0.0
2018-11-13,21.8,12.6,94.8,0.0
2018-11-14,21.4,11.8,88.1,0.0
2018-11-15,21.8,11.8,81.9,0.0
2018-11-16,21.0,11.8,85.6,0.0
2018-11-17,22.0,12.0,81.1,0.0
2018-11-18,23.0,12.0,81.9,0.0
2018-11-19,21.4,11.4,79.3,0.0
2018-11-20,21.4,11.8,84.6,0.0
2018-11-21,21.8,11.2,85.8,0.0
2018-11-22,22.6,11.6,88.4,0.0
2018-11-23,23.6,11.8,88.5,0.0
2018-11-24,22.2,11.6,89.9,0.0
2018-11-25,22.6,11.8,92.0,0.0
2018-11-26,26.2,11.8,87.8,0.0
2018-11-27,23.0,11.8,87.9,0.0
2018-11-28,22.0,11.8,84.3,0.0
2018-11-29,22.0,11.6,86.6,0.0
2018-11-30,22.6,11.6,87.8,0.0
2018-12-01,22.8,11.4,85.0,0.0
2018-12-02,22.2,12.4,86.0,0.0
2018-12-03,22.6,12.4,86.2,0.0
2018-12-04,22.8,10.8,87.8,0.0
2018-12-05,24.8,11.0,83.7,0.0
2018-12-06,23.2,11.2,87.8,0.0
2018-12-07,22.6,12.4,86.3,0.0
2018-12-08,21.4,12.0,90.4,0.0
2018-12-09,22.2,12.6,85.4,0.0
2018-12-10,22.2,12.2,86.0,0.0
2018-12-11,22.4,13.0,87.5,0.0
2018-12-12,22.2,16.0,88.7,0.0
2018-12-13,22.4,16.0,87.7,0.0
2018-12-14,22.6,16.4,89.4,0.0
2018-12-15,22.6,16.6,86.9,0.0
2018-12-16,22.8,17.0,89.8,0.0
2018-12-17,22.4,16.8,90.2,0.0
2018-12-18,23.0,16.8,91.8,0.0
2018-12-19,23.0,16.8,91.9,0.0
2018-12-20,26.4,17.0,87.8,0.0
2018-12-21,23.6,17.0,89.8,0.0
2018-12-22,23.4,17.0,84.3,0.0
2018-12-23,22.8,17.0,89.1,0.0
2018-12-24,23.6,17.2,86.5,0.0
2018-12-25,23.8,17.0,89.0,0.0
2018-12-26,24.0,16.8,87.1,0.0
2018-12-27,24.2,17.2,88.4,0.0
2018-12-28,23.8,17.2,87.3,0.0
2018-12-29,25.0,17.6,87.2,0.0
2018-12-30,24.6,17.0,88.7,0.0
2018-12-31,24.4,18.0,88.3,0.1
2019-01-01,24.8,17.8,91.1,0.1
2019-01-02,24.0,18.0,88.5,0.0
2019-01-03,24.8,18.0,89.0,0.0
2019-01-04,24.8,19.0,85.9,0.0
2019-01-05,24.0,19.8,88.3,0.0
2019-01-06,24.4,18.2,87.5,0.0
2019-01-07,25.8,18.0,86.1,0.0
2019-01-08,24.6,18.0,83.7,0.0
2019-01-09,24.2,16.8,87.5,0.0
2019-01-10,24.0,19.2,88.2,0.0
2019-01-11,24.8,19.2,87.5,0.0
2019-01-12,24.8,19.2,88.2,0.0
2019-01-13,24.8,19.6,88.2,0.0
2019-01-14,24.6,19.0,86.5,0.0
2019-01-15,24.2,19.0,91.8,0.0
2019-01-16,24.4,18.8,91.3,0.0
2019-01-17,24.0,18.2,88.2,0.1
2019-01-18,23.0,18.2,88.0,0.1
2019-01-19,24.2,18.2,87.2,0.0
2019-01-20,24.0,18.4,87.2,0.0
2019-01-21,24.0,19.0,88.8,0.0
2019-01-22,25.0,19.0,88.8,0.0
2019-01-23,25.2,19.4,85.0,0.0
2019-01-24,25.0,19.8,86.9,0.0
2019-01-25,25.2,19.8,91.5,0.0
2019-01-26,24.0,19.6,87.3,0.0
2019-01-27,25.0,19.4,87.3,0.0
2019-01-28,25.2,19.4,92.7,0.0
2019-01-29,26.0,21.2,88.3,0.0
2019-01-30,26.4,21.2,90.7,0.0
2019-01-31,27.6,20.8,87.9,0.0
2019-02-01,29.0,20.6,89.6,0.0
2019-02-02,28.0,20.2,90.8,0.0
2019-02-03,28.0,20.6,86.5,0.0
2019-02-04,27.8,21.6,86.3,0.0
2019-02-05,27.6,20.4,90.8,0.0
2019-02-06,27.2,20.0,85.1,0.0
2019-02-07,27.0,21.8,88.8,0.0
2019-02-08,27.2,21.2,83.7,0.0
2019-02-09,28.0,21.8,85.2,0.0
2019-02-10,27.8,22.2,84.5,0.0
2019-02-11,27.0,20.8,87.8,0.0
2019-02-12,26.8,20.2,91.8,0.0
2019-02-13,26.6,19.2,88.5,0.0
2019-02-14,27.0,19.0,88.2,0.0
2019-02-15,26.6,18.8,87.5,0.1
2019-02-16,26.4,19.2,87.7,0.0
2019-02-17,26.6,18.0,84.7,0.0
2019-02-18,26.8,18.2,85.9,0.0
2019-02-19,26.8,18.2,87.1,0.0
2019-02-20,26.8,18.4,87.7,0.0
2019-02-21,27.6,20.0,86.8,0.0
2019-02-22,27.6,19.8,88.6,0.0
2019-02-23,29.0,19.2,87.5,0.0
2019-02-24,28.4,18.4,82.2,0.0
2019-02-25,29.0,19.2,86.3,0.0
2019-02-26,29.2,19.2,87.1,0.0
2019-02-27,29.0,19.2,83.9,0.0
2019-02-28,29.4,19.6,84.0,0.0
2019-03-01,29.4,19.4,82.7,0.0
2019-03-02,29.2,19.4,87.0,0.0
2019-03-03,29.2,19.4,85.8,0.0
2019-03-04,29.2,18.6,86.4,0.0
2019-03-05,29.4,18.4,82.9,0.0
2019-03-06,29.2,18.4,84.8,0.0
2019-03-07,29.4,18.4,84.8,0.0
2019-03-08,30.2,18.6,87.0,0.0
2019-03-09,30.0,18.6,86.6,0.1
2019-03-10,28.4,18.6,86.4,0.0
2019-03-11,29.0,18.6,87.7,0.0
2019-03-12,29.0,18.8,86.9,0.0
2019-03-13,28.8,18.6,90.1,0.0
2019-03-14,27.8,18.6,89.5,0.0
2019-03-15,28.8,18.2,86.9,0.1
2019-03-16,27.4,17.8,89.4,0.0
2019-03-17,27.8,18.0,84.3,0.0
2019-03-18,28.0,17.8,89.5,0.0
2019-03-19,26.4,17.8,84.5,0.0
2019-03-20,26.4,17.0,89.0,0.0
2019-03-21,26.4,17.2,90.5,0.0
2019-03-22,26.8,17.4,86.6,0.0
2019-03-23,26.4,16.6,88.8,0.0
2019-03-24,26.2,17.0,87.4,0.0
2019-03-25,26.2,17.2,84.5,0.0
2019-03-26,28.8,17.2,91.0,0.0
2019-03-27,27.4,17.4,88.4,0.0
2019-03-28,27.4,17.4,92.7,0.1
2019-03-29,26.8,17.4,90.4,0.0
2019-03-30,26.8,17.6,92.8,0.0
2019-03-31,26.6,17.8,89.8,0.0
2019-04-01,26.8,16.8,92.4,0.0
2019-04-02,26.8,17.0,94.7,0.0
2019-04-03,27.0,17.2,92.9,0.0
2019-04-04,25.8,18.8,90.5,0.0
2019-04-05,26.0,18.6,86.5,0.0
2019-04-06,25.8,18.0,89.4,0.0
2019-04-07,25.6,18.0,87.6,0.0
2019-04-08,26.0,17.0,92.1,0.0
2019-04-09,25.6,16.8,93.2,0.0
2019-04-10,24.8,16.2,89.0,0.0
2019-04-11,24.8,16.8,93.4,0.0
2019-04-12,24.8,16.8,92.5,0.0
2019-04-13,24.6,16.6,92.7,0.0
2019-04-14,24.8,16.6,92.6,0.0
2019-04-15,25.0,16.6,90.3,0.0
